distname,fid_hex,area_sqkm
Gonda,"245","326"
Faizabad,"245","103"
Faizabad,"246","431"
Sultanpur,"247","250"
Faizabad,"247","182"
Sultanpur,"248","427"
Amethi,"248","6"
Sultanpur,"249","121"
Pratapgarh,"249","245"
Amethi,"249","69"
Shrawasti,"250","317"
Balrampur,"250","0"
Shrawasti,"251","232"
Balrampur,"251","191"
Mirzapur,"252","443"
Mirzapur,"253","48"
Sonbhadra,"253","327"
Sonbhadra,"254","37"
Sonbhadra,"255","19"
Sonbhadra,"256","83"
Basti,"257","135"
Ambedkar Nagar,"257","297"
Sultanpur,"258","3"
Azamgarh,"258","5"
Ambedkar Nagar,"258","425"
Sultanpur,"259","115"
Jaunpur,"259","165"
Azamgarh,"259","154"
Ambedkar Nagar,"259","1"
Jaunpur,"260","396"
Azamgarh,"260","40"
Jaunpur,"261","437"
Sant Ravidas Nagar (Bhadohi),"262","1"
Varanasi,"262","38"
Jaunpur,"262","399"
Sant Ravidas Nagar (Bhadohi),"263","242"
Varanasi,"263","138"
Jaunpur,"263","42"
Mirzapur,"263","18"
Sant Ravidas Nagar (Bhadohi),"264","5"
Mirzapur,"264","437"
Balrampur,"265","82"
Siddharthnagar,"266","6"
Balrampur,"266","382"
Siddharthnagar,"267","355"
Balrampur,"267","71"
Siddharthnagar,"268","328"
Basti,"268","99"
Gonda,"269","18"
Basti,"269","410"
Basti,"270","430"
Mirzapur,"271","151"
Sonbhadra,"271","19"
Sultanpur,"272","330"
Ambedkar Nagar,"272","104"
Sultanpur,"273","183"
Jaunpur,"273","222"
Pratapgarh,"273","30"
Jaunpur,"274","434"
Pratapgarh,"274","3"
Jaunpur,"275","438"
Sant Ravidas Nagar (Bhadohi),"276","309"
Jaunpur,"276","129"
Allahabad,"276","1"
Sant Ravidas Nagar (Bhadohi),"277","221"
Mirzapur,"277","220"
Mirzapur,"278","442"
Mirzapur,"279","433"
Sonbhadra,"279","10"
Balrampur,"280","308"
Siddharthnagar,"281","6"
Balrampur,"281","419"
Siddharthnagar,"282","215"
Gonda,"282","2"
Balrampur,"282","210"
Siddharthnagar,"283","20"
Gonda,"283","331"
Basti,"283","13"
Balrampur,"283","64"
Gonda,"284","37"
Basti,"284","392"
Basti,"285","238"
Faizabad,"285","114"
Ambedkar Nagar,"285","78"
Sultanpur,"286","0"
Faizabad,"286","2"
Ambedkar Nagar,"286","430"
Varanasi,"287","345"
Chandauli,"287","95"
Mirzapur,"287","0"
Varanasi,"288","20"
Chandauli,"288","61"
Mirzapur,"288","361"
Chandauli,"289","161"
Mirzapur,"289","192"
Sonbhadra,"289","90"
Chandauli,"290","36"
Sonbhadra,"290","408"
Sonbhadra,"291","446"
Sonbhadra,"292","447"
Sonbhadra,"293","449"
Sonbhadra,"294","308"
Sant Kabir Nagar,"295","428"
Gorakhpur,"295","0"
Sant Kabir Nagar,"296","360"
Basti,"296","2"
Gorakhpur,"296","68"
Sant Kabir Nagar,"297","374"
Gorakhpur,"297","37"
Ambedkar Nagar,"297","21"
Sant Kabir Nagar,"298","21"
Gorakhpur,"298","33"
Azamgarh,"298","182"
Ambedkar Nagar,"298","197"
Azamgarh,"299","434"
Azamgarh,"300","436"
Jaunpur,"301","56"
Azamgarh,"301","377"
Ghazipur,"301","4"
Varanasi,"302","188"
Jaunpur,"302","132"
Ghazipur,"302","119"
Siddharthnagar,"303","1"
Siddharthnagar,"304","423"
Siddharthnagar,"305","350"
Sant Kabir Nagar,"305","57"
Gorakhpur,"305","8"
Mahrajganj,"305","12"
